X	Y
66,976941881524	30,91032622059103
53,047782254771064	42,43478189617951
53,371945663086606	28,61833547113489
62,23733833107434	46,724730237209585
67,03264455670347	31,044328260452765
59,985302399468324	34,70537878061959
75,18113438324187	34,9133755874736
63,47302838471843	47,614948857960016
57,092572779239674	37,27490334994366
77,16213192789432	48,961835459684714
79,39829849795098	46,140993949117046
73,48977059715251	37,31586834342961
74,4522752247138	47,493636032290894
77,11629030579917	26,687165370939226
71,07694765780677	34,606795353951576
75,2589352269043	39,19047888734686
60,40509223758808	42,85363860859481
81,64307187274389	38,59713333776022
58,381611928923306	51,52858310753483
63,22806562746362	36,93246867999255
71,06507240950758	43,97914686505959
74,86431827904961	33,701782366284085
72,85597920224278	49,39221193548825
90,96091112598202	29,363777446657856
72,7299167875879	38,11420449323918
75,4187231989114	48,94898104587127
87,47265094059551	49,511121330911465
79,9625709861162	39,36426009549178
75,05733732296022	60,17025165690612
93,70007176828648	52,91900052581488
93,1591596428827	39,62232636616985
74,06660357124535	51,08587219513255
76,10790090447934	48,8766229503278
102,25158684984845	54,04534194396595
100,44717184225397	62,115822831209016
94,30078861333658	61,54102996926596
92,92691231422616	35,13742071715167
104,45054889069341	54,87106141679919
83,41942754914668	52,94238484202111
103,9841694630973	52,34013922062621
109,0549300592549	54,064933086654236
88,05892231007024	62,20559722160887
95,85281119376404	55,1406491381216
93,1671437422394	42,82134904994241
90,72391930716542	57,735033941979
104,7512464969075	40,968561517264824
98,69980963735765	56,19317277469122
112,62383303892479	52,46215798941407
112,30203491413398	41,11326208688992
104,56807248524908	61,13601332323802
